title,author,venue_name,publish_date,url,code,created_date
"Looking from a Double Rainbow: Proposing New Ways of Looking at Autistic Sexualities, Relationality, and Genders","HB Rosqvist, A Day, M Krazinski","<ul><li><span style=""color: #FF5733;"">Exploring Autistic Sexualities …, 2025</span></li></ul>",2024-08-22,"<ul><li><a href=""https://www.taylorfrancis.com/chapters/edit/10.4324/9781003440154-18/looking-double-rainbow-hanna-bertilsdotter-rosqvist-anna-day-meaghan-krazinski"" target=""_blank"" style=""color: #FF5733;"">[GoogleScholar (2024-08-22)]</a></li></ul>",,2024-08-29
"Remnants of illegality: DACA, legal status, and unlearning illegality",JC Robles,"<ul><li><span style=""color: #FF5733;"">Journal of Ethnic and Migration Studies, 2024</span></li></ul>",2024-08-22,"<ul><li><a href=""https://www.tandfonline.com/doi/abs/10.1080/1369183X.2024.2393655"" target=""_blank"" style=""color: #FF5733;"">[GoogleScholar (2024-08-22)]</a></li></ul>",,2024-08-29
Towards Robust Knowledge Unlearning: An Adversarial Framework for Assessing and Improving Unlearning Robustness in Large Language Models,"Hongbang Yuan, Zhuoran Jin, Pengfei Cao, Yubo Chen, Kang Liu, Jun Zhao","<ul><li><span style=""color: #FF5733;"">CoRR</span></li><li><span style=""color: #3357FF;"">arXiv</span></li><li><span style=""color: #FF33A1;"">arXiv …, 2024</span></li></ul>",2024-08-21,"<ul><li><a href=""https://doi.org/10.48550/arXiv.2408.10682"" target=""_blank"" style=""color: #FF5733;"">[DBLP (2024)]</a></li><li><a href=""http://arxiv.org/abs/2408.10682v1"" target=""_blank"" style=""color: #3357FF;"">[arXiv (2024-08-20)]</a></li><li><a href=""https://arxiv.org/abs/2408.10682"" target=""_blank"" style=""color: #FF33A1;"">[GoogleScholar (2024-08-21)]</a></li></ul>",,2024-11-03
UnLearn School: ein Film über das Verlernen,B Adam,"<ul><li><span style=""color: #FF5733;"">on. Lernen in der digitalen Welt, 2024</span></li></ul>",2024-08-21,"<ul><li><a href=""https://elibrary.utb.de/doi/pdf/10.5555/on-18-2024_14"" target=""_blank"" style=""color: #FF5733;"">[GoogleScholar (2024-08-21)]</a></li></ul>",,2024-09-05
Community-Centric Graph Unlearning,"Yi Li, Shichao Zhang, Guixian Zhang, Debo Cheng","<ul><li><span style=""color: #FF5733;"">CoRR</span></li><li><span style=""color: #3357FF;"">arXiv</span></li><li><span style=""color: #FF33A1;"">arXiv:2408.09705, 2024</span></li></ul>",2024-08-20,"<ul><li><a href=""https://doi.org/10.48550/arXiv.2408.09705"" target=""_blank"" style=""color: #FF5733;"">[DBLP (2024)]</a></li><li><a href=""http://arxiv.org/abs/2408.09705v1"" target=""_blank"" style=""color: #3357FF;"">[arXiv (2024-08-19)]</a></li><li><a href=""https://arxiv.org/abs/2408.09705"" target=""_blank"" style=""color: #FF33A1;"">[GoogleScholar (2024-08-20)]</a></li></ul>",,2024-11-03
USENIX Security'24 Artifact Appendix:< UBA-Inf: Unlearning Activated Backdoor Attack with Influence-Driven Camouflage,,"<ul><li><span style=""color: #FF5733;"">GoogleScholar</span></li></ul>",2024-08-20,"<ul><li><a href=""https://secartifacts.github.io/usenixsec2024/appendix-files/sec24winterae-final97.pdf"" target=""_blank"" style=""color: #FF5733;"">[GoogleScholar (2024-08-20)]</a></li></ul>",,2024-09-05
A Population-to-individual Tuning Framework for Adapting Pretrained LM to On-device User Intent Prediction,"J Gong, J Ding, F Meng, G Chen, H Chen…","<ul><li><span style=""color: #FF5733;"">Proceedings of the 30th …, 2024</span></li></ul>",2024-08-20,"<ul><li><a href=""https://dl.acm.org/doi/abs/10.1145/3637528.3671984"" target=""_blank"" style=""color: #FF5733;"">[GoogleScholar (2024-08-20)]</a></li></ul>",,2024-08-29
LEARNING SOCIAL CHANGE STORYTELLING,KL Broad,"<ul><li><span style=""color: #FF5733;"">Feminist Pedagogy, 2024</span></li></ul>",2024-08-20,"<ul><li><a href=""https://digitalcommons.calpoly.edu/cgi/viewcontent.cgi?article=1190&context=feministpedagogy"" target=""_blank"" style=""color: #FF5733;"">[GoogleScholar (2024-08-20)]</a></li></ul>",,2024-08-29
Teaching Pronunciation That Sticks,KEP Freeman,"<ul><li><span style=""color: #FF5733;"">WAESOL Educator, 2024</span></li></ul>",2024-08-20,"<ul><li><a href=""http://educator.waesol.org/index.php/WE/article/view/266"" target=""_blank"" style=""color: #FF5733;"">[GoogleScholar (2024-08-20)]</a></li></ul>",,2024-08-29
Understanding Consumer Commitment in Slow-Reward Lifestyle Sports: Study amongst Ashtanga Yoga Practitioners,M Häkli,"<ul><li><span style=""color: #FF5733;"">2024</span></li></ul>",2024-08-20,"<ul><li><a href=""https://aaltodoc.aalto.fi/items/0b3d51f9-6ae8-47b3-b44b-308576e06d42"" target=""_blank"" style=""color: #FF5733;"">[GoogleScholar (2024-08-20)]</a></li></ul>",,2024-08-29
Federated Unlearning in the Internet of Vehicles,"Guofeng Li, Xia Feng, Liang-Min Wang, Haiqin Wu, Boris Düdder","<ul><li><span style=""color: #FF5733;"">2024 54th Annual IEEE/IFIP International Conference on Dependable Systems and Networks - Supplemental Volume (DSN-S)</span></li><li><span style=""color: #3357FF;"">DSN-S</span></li><li><span style=""color: #FF33A1;"">GoogleScholar</span></li></ul>",2024-08-19,"<ul><li><a href=""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10647076"" target=""_blank"" style=""color: #FF5733;"">[IEEE (2024)]</a></li><li><a href=""https://doi.org/10.1109/DSN-S60304.2024.00034"" target=""_blank"" style=""color: #3357FF;"">[DBLP (2024)]</a></li><li><a href=""https://dsn2024uq.github.io/Proceedings/pdfs/DSN-S2024-3LLnxbOIgEGedw7VY2pz6a/957000a096/957000a096.pdf"" target=""_blank"" style=""color: #FF33A1;"">[GoogleScholar (2024-08-19)]</a></li></ul>",,2024-11-03
"Proposing New Ways of Looking at Autistic Sexualities, Relationality, and Genders","HB Rosqvist, A Day, M Krazinski","<ul><li><span style=""color: #FF5733;"">Exploring Autistic Sexualities …, 2024</span></li><li><span style=""color: #3357FF;"">Exploring Autistic Sexualities …, 2024</span></li></ul>",2024-08-19,"<ul><li><a href=""https://books.google.com/books?hl=en&lr=&id=cIAaEQAAQBAJ&oi=fnd&pg=PT190&dq=unlearn&ots=EQyM7gw3zK&sig=4xD8HmLYIfYjX1yFISFcOpuYHhs"" target=""_blank"" style=""color: #FF5733;"">[GoogleScholar (2024-08-19)]</a></li><li><a href=""https://books.google.com/books?hl=en&lr=&id=cIAaEQAAQBAJ&oi=fnd&pg=PT190&dq=unlearn&ots=EQyMcpwbAP&sig=Idj0i53viVPzHpXoj3PgaWFU_ao"" target=""_blank"" style=""color: #3357FF;"">[GoogleScholar (2024-08-19)]</a></li></ul>",,2024-09-05
WPN: An Unlearning Method Based on N-pair Contrastive Learning in Language Models,"Guitao Chen, Yunshen Wang, Hongye Sun, Guang Chen","<ul><li><span style=""color: #FF5733;"">CoRR</span></li><li><span style=""color: #3357FF;"">ECAI</span></li><li><span style=""color: #FF33A1;"">arXiv</span></li><li><span style=""color: #FF8C33;"">arXiv:2408.09459, 2024</span></li></ul>",2024-08-18,"<ul><li><a href=""https://doi.org/10.48550/arXiv.2408.09459"" target=""_blank"" style=""color: #FF5733;"">[DBLP (2024)]</a></li><li><a href=""https://doi.org/10.3233/FAIA240662"" target=""_blank"" style=""color: #3357FF;"">[DBLP (2024)]</a></li><li><a href=""http://arxiv.org/abs/2408.09459v1"" target=""_blank"" style=""color: #FF33A1;"">[arXiv (2024-08-18)]</a></li><li><a href=""https://arxiv.org/abs/2408.09459"" target=""_blank"" style=""color: #FF8C33;"">[GoogleScholar (2024-08-18)]</a></li></ul>",,2024-11-03
My Diverse Self,R Tagore,"<ul><li><span style=""color: #FF5733;"">Narratives of South Asian and South Asian American …</span></li></ul>",2024-08-18,"<ul><li><a href=""https://www.nomos-elibrary.de/10.5771/9781666909746.pdf#page=118"" target=""_blank"" style=""color: #FF5733;"">[GoogleScholar (2024-08-18)]</a></li></ul>",,2024-08-29
"Teaching Indigenous Languages. Selected Papers from the Annual Symposium on Stabilizing Indigenous Languages (4th, Flagstaff, Arizona, May 1-3, 1997)",,"<ul><li><span style=""color: #FF5733;"">GoogleScholar</span></li></ul>",2024-08-18,"<ul><li><a href=""https://policycommons.net/artifacts/15057443/teaching-indigenous-languages/15954835/"" target=""_blank"" style=""color: #FF5733;"">[GoogleScholar (2024-08-18)]</a></li></ul>",,2024-08-29
Scalable and Certifiable Graph Unlearning via Lazy Local Propagation,"Lu Yi, Zhewei Wei","<ul><li><span style=""color: #FF5733;"">CoRR</span></li><li><span style=""color: #3357FF;"">arXiv</span></li><li><span style=""color: #FF33A1;"">arXiv:2408.09212, 2024</span></li></ul>",2024-08-17,"<ul><li><a href=""https://doi.org/10.48550/arXiv.2408.09212"" target=""_blank"" style=""color: #FF5733;"">[DBLP (2024)]</a></li><li><a href=""http://arxiv.org/abs/2408.09212v1"" target=""_blank"" style=""color: #3357FF;"">[arXiv (2024-08-17)]</a></li><li><a href=""https://arxiv.org/abs/2408.09212"" target=""_blank"" style=""color: #FF33A1;"">[GoogleScholar (2024-08-17)]</a></li></ul>",,2024-11-03
Scalable and Certifiable Graph Unlearning: Overcoming the Approximation Error Barrier,"Lu Yi, Zhewei Wei","<ul><li><span style=""color: #FF5733;"">arXiv</span></li></ul>",2024-08-17,"<ul><li><a href=""http://arxiv.org/abs/2408.09212v2"" target=""_blank"" style=""color: #FF5733;"">[arXiv (2024-08-17)]</a></li></ul>","<ul><li><a href=""https://github.com/luyi256/ScaleGUN"" target=""_blank"" style=""color: #FF5733;"">[arXiv - luyi256]</a></li></ul>",2024-11-03
"(2019) The socioecological (un) learner: unlearning binary oppositions and the wicked problems of the Anthropocene. In: Cutter-Mackenzie-Knowles, Amy …",,"<ul><li><span style=""color: #FF5733;"">GoogleScholar</span></li></ul>",2024-08-17,"<ul><li><a href=""https://researchonline.jcu.edu.au/60348/6/JCU_60348_accepted.pdf"" target=""_blank"" style=""color: #FF5733;"">[GoogleScholar (2024-08-17)]</a></li></ul>",,2024-08-29
Digital Twin-based Instructor Support System for Excavator Training,"F Vahdatikhaki, LO Scholtenhuis…","<ul><li><span style=""color: #FF5733;"">ISARC. Proceedings of …, 2024</span></li></ul>",2024-08-17,"<ul><li><a href=""https://search.proquest.com/openview/b8da6bf7b091a7bd0dc6d2631baef209/1?pq-origsite=gscholar&cbl=1646340"" target=""_blank"" style=""color: #FF5733;"">[GoogleScholar (2024-08-17)]</a></li></ul>",,2024-08-29
"Steve, A Pretty Exceptional Horse by Kelly Collier",K Quealy-Gainer,"<ul><li><span style=""color: #FF5733;"">Bulletin of the Center for Children's Books, 2024</span></li></ul>",2024-08-17,"<ul><li><a href=""https://muse.jhu.edu/pub/1/article/935122/summary"" target=""_blank"" style=""color: #FF5733;"">[GoogleScholar (2024-08-17)]</a></li></ul>",,2024-08-29
The Loss of the Burying Ground by J. Anderson Coats,F Hartley-Kroeger,"<ul><li><span style=""color: #FF5733;"">Bulletin of the Center for Children's Books, 2024</span></li></ul>",2024-08-17,"<ul><li><a href=""https://muse.jhu.edu/pub/1/article/935121/summary"" target=""_blank"" style=""color: #FF5733;"">[GoogleScholar (2024-08-17)]</a></li></ul>",,2024-08-29
Fishers Harvest Parallel Unlearning in Inherited Model Networks,"Xiao Liu, Mingyuan Li, Xu Wang, Guangsheng Yu, Wei Ni, Lixiang Li, Haipeng Peng, Ren Ping Liu","<ul><li><span style=""color: #FF5733;"">CoRR</span></li><li><span style=""color: #3357FF;"">arXiv</span></li><li><span style=""color: #FF33A1;"">arXiv</span></li><li><span style=""color: #FF8C33;"">arXiv …, 2024</span></li></ul>",2024-08-16,"<ul><li><a href=""https://doi.org/10.48550/arXiv.2408.08493"" target=""_blank"" style=""color: #FF5733;"">[DBLP (2024)]</a></li><li><a href=""http://arxiv.org/abs/2408.08493v1"" target=""_blank"" style=""color: #3357FF;"">[arXiv (2024-08-16)]</a></li><li><a href=""http://arxiv.org/abs/2408.08493v2"" target=""_blank"" style=""color: #FF33A1;"">[arXiv (2024-08-16)]</a></li><li><a href=""https://arxiv.org/abs/2408.08493"" target=""_blank"" style=""color: #FF8C33;"">[GoogleScholar (2024-08-16)]</a></li></ul>",,2024-11-03
Afterword: Reflecting on the Higher Education We Want and Can Build,GP Ghaffari,"<ul><li><span style=""color: #FF5733;"">Thinking Like an Abolitionist to End Sexual Violence in …</span></li></ul>",2024-08-16,"<ul><li><a href=""https://www.taylorfrancis.com/chapters/edit/10.4324/9781032648538-8/afterword-grace-poon-ghaffari"" target=""_blank"" style=""color: #FF5733;"">[GoogleScholar (2024-08-16)]</a></li></ul>",,2024-08-29
Towards flexible perception with visual memory,"R Geirhos, P Jaini, A Stone, S Medapati, X Yi…","<ul><li><span style=""color: #FF5733;"">arXiv …, 2024</span></li></ul>",2024-08-16,"<ul><li><a href=""https://arxiv.org/abs/2408.08172"" target=""_blank"" style=""color: #FF5733;"">[GoogleScholar (2024-08-16)]</a></li></ul>",,2024-08-29
FedQUIT: On-Device Federated Unlearning via a Quasi-Competent Virtual Teacher,"Alessio Mora, Lorenzo Valerio, Paolo Bellavista, Andrea Passarella","<ul><li><span style=""color: #FF5733;"">CoRR</span></li><li><span style=""color: #3357FF;"">arXiv</span></li><li><span style=""color: #FF33A1;"">arXiv …, 2024</span></li></ul>",2024-08-15,"<ul><li><a href=""https://doi.org/10.48550/arXiv.2408.07587"" target=""_blank"" style=""color: #FF5733;"">[DBLP (2024)]</a></li><li><a href=""http://arxiv.org/abs/2408.07587v1"" target=""_blank"" style=""color: #3357FF;"">[arXiv (2024-08-14)]</a></li><li><a href=""https://arxiv.org/abs/2408.07587"" target=""_blank"" style=""color: #FF33A1;"">[GoogleScholar (2024-08-15)]</a></li></ul>",,2024-11-03
Unlearnable Examples Detection via Iterative Filtering,"Yi Yu, Qichen Zheng, Siyuan Yang, Wenhan Yang, Jun Liu, Shijian Lu, Yap-Peng Tan, Kwok-Yan Lam, Alex ChiChung Kot","<ul><li><span style=""color: #FF5733;"">ICANN</span></li><li><span style=""color: #3357FF;"">CoRR</span></li><li><span style=""color: #FF33A1;"">arXiv</span></li></ul>",2024-08-15,"<ul><li><a href=""https://doi.org/10.1007/978-3-031-72359-9_18"" target=""_blank"" style=""color: #FF5733;"">[DBLP (2024)]</a></li><li><a href=""https://doi.org/10.48550/arXiv.2408.08143"" target=""_blank"" style=""color: #3357FF;"">[DBLP (2024)]</a></li><li><a href=""http://arxiv.org/abs/2408.08143v1"" target=""_blank"" style=""color: #FF33A1;"">[arXiv (2024-08-15)]</a></li></ul>",,2024-11-03
The influence of her initial teacher training,,"<ul><li><span style=""color: #FF5733;"">GoogleScholar</span></li></ul>",2024-08-15,"<ul><li><a href=""https://www.sherborneinternational.com/uploads/1/1/0/3/11034261/sherbornephilosophy.pdf"" target=""_blank"" style=""color: #FF5733;"">[GoogleScholar (2024-08-15)]</a></li></ul>",,2024-08-29
Towards Robust and Cost-Efficient Knowledge Unlearning for Large Language Models,"Sungmin Cha, Sungjun Cho, Dasol Hwang, Moontae Lee","<ul><li><span style=""color: #FF5733;"">CoRR</span></li><li><span style=""color: #3357FF;"">arXiv</span></li><li><span style=""color: #FF33A1;"">arXiv</span></li><li><span style=""color: #FF8C33;"">arXiv:2408.06621, 2024</span></li></ul>",2024-08-14,"<ul><li><a href=""https://doi.org/10.48550/arXiv.2408.06621"" target=""_blank"" style=""color: #FF5733;"">[DBLP (2024)]</a></li><li><a href=""http://arxiv.org/abs/2408.06621v1"" target=""_blank"" style=""color: #3357FF;"">[arXiv (2024-08-13)]</a></li><li><a href=""http://arxiv.org/abs/2408.06621v2"" target=""_blank"" style=""color: #FF33A1;"">[arXiv (2024-08-13)]</a></li><li><a href=""https://arxiv.org/abs/2408.06621"" target=""_blank"" style=""color: #FF8C33;"">[GoogleScholar (2024-08-14)]</a></li></ul>",,2024-11-03
MACHINE UNLEARNING AND LOW-COST MODEL EDITING FOR MATRIX FACTORIZATION-BASED RECOMMENDER SYSTEMS,Y Yixiao,"<ul><li><span style=""color: #FF5733;"">2024</span></li></ul>",2024-08-14,"<ul><li><a href=""https://dalspace.library.dal.ca/handle/10222/84420"" target=""_blank"" style=""color: #FF5733;"">[GoogleScholar (2024-08-14)]</a></li></ul>",,2024-08-29
On Effects of Steering Latent Representation for Large Language Model Unlearning,"Dang Huu-Tien, Trung-Tin Pham, Hoang Thanh-Tung, Naoya Inoue","<ul><li><span style=""color: #FF5733;"">CoRR</span></li><li><span style=""color: #3357FF;"">arXiv</span></li></ul>",2024-08-12,"<ul><li><a href=""https://doi.org/10.48550/arXiv.2408.06223"" target=""_blank"" style=""color: #FF5733;"">[DBLP (2024)]</a></li><li><a href=""http://arxiv.org/abs/2408.06223v1"" target=""_blank"" style=""color: #3357FF;"">[arXiv (2024-08-12)]</a></li></ul>",,2024-11-03
TruVRF: Towards Triple-Granularity Verification on Machine Unlearning,"Chunyi Zhou, Anmin Fu, Zhiyang Dai","<ul><li><span style=""color: #FF5733;"">CoRR</span></li><li><span style=""color: #3357FF;"">arXiv</span></li></ul>",2024-08-12,"<ul><li><a href=""https://doi.org/10.48550/arXiv.2408.06063"" target=""_blank"" style=""color: #FF5733;"">[DBLP (2024)]</a></li><li><a href=""http://arxiv.org/abs/2408.06063v1"" target=""_blank"" style=""color: #3357FF;"">[arXiv (2024-08-12)]</a></li></ul>",,2024-11-03
A Commentary on Indigenous Being and Becoming,K Hollinshead,"<ul><li><span style=""color: #FF5733;"">The Routledge Handbook of Tourism and …, 2024</span></li></ul>",2024-08-11,"<ul><li><a href=""https://books.google.com/books?hl=en&lr=&id=pu0YEQAAQBAJ&oi=fnd&pg=PA2029&dq=unlearn&ots=-0nec6CPU7&sig=SbR9bmPkhpwpLe792FdatgcaAw0"" target=""_blank"" style=""color: #FF5733;"">[GoogleScholar (2024-08-11)]</a></li></ul>",,2024-08-12
"Decolonising Biblical Studies in Africa: Re-thinking the Possibilities, Opportunities and Challenges",MR Gunda,"<ul><li><span style=""color: #FF5733;"">Contemporary African Perspectives on the Bible, 2024</span></li></ul>",2024-08-11,"<ul><li><a href=""https://link.springer.com/chapter/10.1007/978-3-031-54168-1_2"" target=""_blank"" style=""color: #FF5733;"">[GoogleScholar (2024-08-11)]</a></li></ul>",,2024-08-12
Transformative Learning Potentials through Knowledge Sharing in Indigenous Tourism in Australia,"N Curtin, T Woodroffe, C Walker","<ul><li><span style=""color: #FF5733;"">The Routledge Handbook of …, 2024</span></li></ul>",2024-08-11,"<ul><li><a href=""https://books.google.com/books?hl=en&lr=&id=pu0YEQAAQBAJ&oi=fnd&pg=RA2-PT51&dq=unlearn&ots=-0nec6CPU7&sig=GQ6YXHbfb9rubn-2uKQS9ce6aSs"" target=""_blank"" style=""color: #FF5733;"">[GoogleScholar (2024-08-11)]</a></li></ul>",,2024-08-12
UNLEARN Efficient Removal of Knowledge in Large Language Models,"Tyler Lizzo, Larry Heck","<ul><li><span style=""color: #FF5733;"">CoRR</span></li><li><span style=""color: #3357FF;"">arXiv</span></li><li><span style=""color: #FF33A1;"">arXiv:2408.04140, 2024</span></li></ul>",2024-08-09,"<ul><li><a href=""https://doi.org/10.48550/arXiv.2408.04140"" target=""_blank"" style=""color: #FF5733;"">[DBLP (2024)]</a></li><li><a href=""http://arxiv.org/abs/2408.04140v1"" target=""_blank"" style=""color: #3357FF;"">[arXiv (2024-08-08)]</a></li><li><a href=""https://arxiv.org/abs/2408.04140"" target=""_blank"" style=""color: #FF33A1;"">[GoogleScholar (2024-08-09)]</a></li></ul>",,2024-11-03
Exploring distributed neural network connections in a rat model of SYNGAP1 haploinsufficiency,F Colaguori,"<ul><li><span style=""color: #FF5733;"">2024</span></li></ul>",2024-08-09,"<ul><li><a href=""https://era.ed.ac.uk/handle/1842/42071"" target=""_blank"" style=""color: #FF5733;"">[GoogleScholar (2024-08-09)]</a></li></ul>",,2024-08-12
SANITY CHECKS FOR EVALUATING GRAPH UNLEARNING,,"<ul><li><span style=""color: #FF5733;"">GoogleScholar</span></li></ul>",2024-08-09,"<ul><li><a href=""https://precog.iiit.ac.in/pubs/sanity_checks.pdf"" target=""_blank"" style=""color: #FF5733;"">[GoogleScholar (2024-08-09)]</a></li></ul>",,2024-08-12
Flexible and Inflexible Representations of Cognitive Maps,S Sweigart,"<ul><li><span style=""color: #FF5733;"">2024</span></li></ul>",2024-08-08,"<ul><li><a href=""https://escholarship.org/uc/item/0mr0757n"" target=""_blank"" style=""color: #FF5733;"">[GoogleScholar (2024-08-08)]</a></li></ul>",,2024-08-12
SYSTEMS FOR RAPID ACCURATE COMPLETE DETAILING AND COST ESTIMATION FOR BUILDING CONSTRUCTION FROM 2D PLANS,"BJ Powles, SJ Thomas…","<ul><li><span style=""color: #FF5733;"">US Patent App. 18 …, 2024</span></li></ul>",2024-08-08,"<ul><li><a href=""https://www.freepatentsonline.com/y2024/0265159.html"" target=""_blank"" style=""color: #FF5733;"">[GoogleScholar (2024-08-08)]</a></li></ul>",,2024-08-12
Systems and Methods for Designing Augmented Randomized Trials,"DP Miller, JR Walsh","<ul><li><span style=""color: #FF5733;"">US Patent App. 18/439,385, 2024</span></li><li><span style=""color: #3357FF;"">US Patent App. 18/163,157, 2024</span></li></ul>",2024-08-08,"<ul><li><a href=""https://www.freepatentsonline.com/y2024/0257925.html"" target=""_blank"" style=""color: #FF5733;"">[GoogleScholar (2024-08-01)]</a></li><li><a href=""https://www.freepatentsonline.com/y2024/0266008.html"" target=""_blank"" style=""color: #3357FF;"">[GoogleScholar (2024-08-08)]</a></li></ul>",,2024-08-12
Visual sequence encoding is modulated by music schematic structure and familiarity,"Y Ren, G Leslie, T Brown","<ul><li><span style=""color: #FF5733;"">PloS one, 2024</span></li></ul>",2024-08-08,"<ul><li><a href=""https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0306271"" target=""_blank"" style=""color: #FF5733;"">[GoogleScholar (2024-08-08)]</a></li></ul>",,2024-08-12
Exploring Business Models of Co-living companies in the Housing market: An analysis of the Swedish co-living companies,NB Musonda,"<ul><li><span style=""color: #FF5733;"">2024</span></li></ul>",2024-08-07,"<ul><li><a href=""https://www.diva-portal.org/smash/record.jsf?pid=diva2:1882137"" target=""_blank"" style=""color: #FF5733;"">[GoogleScholar (2024-08-07)]</a></li></ul>",,2024-08-12
Decentralized Unlearning for Trustworthy AI-Generated Content (AIGC) Services,"Y. Lin, H. Du, Z. Gao, J. Yao, B. Jiang, D. Niyato, R. Li, P. Zhang","<ul><li><span style=""color: #FF5733;"">IEEE Network</span></li><li><span style=""color: #3357FF;"">IEEE …, 2024</span></li></ul>",2024-08-06,"<ul><li><a href=""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10623795"" target=""_blank"" style=""color: #FF5733;"">[IEEE (2024)]</a></li><li><a href=""https://ieeexplore.ieee.org/abstract/document/10623795/"" target=""_blank"" style=""color: #3357FF;"">[GoogleScholar (2024-08-06)]</a></li></ul>",,2024-11-03
Snapcase - Regain Control over Your Predictions with Low-Latency Machine Unlearning,"Sebastian Schelter, Stefan Grafberger, Maarten de Rijke","<ul><li><span style=""color: #FF5733;"">Proc. VLDB Endow.</span></li><li><span style=""color: #3357FF;"">GoogleScholar</span></li></ul>",2024-08-06,"<ul><li><a href=""https://www.vldb.org/pvldb/vol17/p4273-schelter.pdf"" target=""_blank"" style=""color: #FF5733;"">[DBLP (2024)]</a></li><li><a href=""https://staff.fnwi.uva.nl/m.derijke/wp-content/papercite-data/pdf/schelter-2024-snapcase.pdf"" target=""_blank"" style=""color: #3357FF;"">[GoogleScholar (2024-08-06)]</a></li></ul>",,2024-11-03
Facilitating unlearning in agricultural education: preparing for family-farm succession,"L van Oers, G Feola, E Moors…","<ul><li><span style=""color: #FF5733;"">The Journal of Agricultural …, 2024</span></li></ul>",2024-08-06,"<ul><li><a href=""https://www.tandfonline.com/doi/abs/10.1080/1389224X.2024.2379812"" target=""_blank"" style=""color: #FF5733;"">[GoogleScholar (2024-08-06)]</a></li></ul>",,2024-08-12
Humans' extreme face recognition abilities challenge the well-established familiarity effect,"G Yovel, E Bash, S Bate","<ul><li><span style=""color: #FF5733;"">Cognition, 2024</span></li></ul>",2024-08-06,"<ul><li><a href=""https://www.sciencedirect.com/science/article/pii/S0010027724001902"" target=""_blank"" style=""color: #FF5733;"">[GoogleScholar (2024-08-06)]</a></li></ul>",,2024-08-12
Stories of Becoming from Endarkened Places: Tracing Sociopolitical Journeys through Community Arts Experiences,PFT Chew,"<ul><li><span style=""color: #FF5733;"">2024</span></li></ul>",2024-08-06,"<ul><li><a href=""https://escholarship.org/uc/item/9vx0s26h"" target=""_blank"" style=""color: #FF5733;"">[GoogleScholar (2024-08-06)]</a></li></ul>",,2024-08-12
"Storying unlearning for intended, enacted and felt kindness in online environs: Implications and opportunities for people, pedagogies and place",A MacDonald,"<ul><li><span style=""color: #FF5733;"">Enacting a Pedagogy of Kindness</span></li></ul>",2024-08-04,"<ul><li><a href=""https://www.taylorfrancis.com/chapters/edit/10.4324/9781003364887-6/storying-unlearning-intended-enacted-felt-kindness-online-environs-abbey-macdonald"" target=""_blank"" style=""color: #FF5733;"">[GoogleScholar (2024-08-04)]</a></li></ul>",,2024-08-12
Controllable Unlearning for Image-to-Image Generative Models via ε-Constrained Optimization,"Xiaohua Feng, Chaochao Chen, Yuyuan Li, Li Zhang","<ul><li><span style=""color: #FF5733;"">CoRR</span></li><li><span style=""color: #3357FF;"">arXiv</span></li><li><span style=""color: #FF33A1;"">arXiv</span></li><li><span style=""color: #FF8C33;"">arXiv:2408.01689, 2024</span></li></ul>",2024-08-03,"<ul><li><a href=""https://doi.org/10.48550/arXiv.2408.01689"" target=""_blank"" style=""color: #FF5733;"">[DBLP (2024)]</a></li><li><a href=""http://arxiv.org/abs/2408.01689v1"" target=""_blank"" style=""color: #3357FF;"">[arXiv (2024-08-03): Controllable Unlearning for Image-to-Image Generative Models via $\varepsilon$-Constrained Optimization]</a></li><li><a href=""http://arxiv.org/abs/2408.01689v2"" target=""_blank"" style=""color: #FF33A1;"">[arXiv (2024-08-03): Controllable Unlearning for Image-to-Image Generative Models via $\varepsilon$-Constrained Optimization]</a></li><li><a href=""https://arxiv.org/abs/2408.01689"" target=""_blank"" style=""color: #FF8C33;"">[GoogleScholar (2024-08-03)]</a></li></ul>",,2024-11-03
An antiracism framework for educating nursing professionals,"S Davis, J Martin-Holland, ML Gemeda, DA Mitchell","<ul><li><span style=""color: #FF5733;"">Nursing Outlook, 2024</span></li></ul>",2024-08-03,"<ul><li><a href=""https://www.sciencedirect.com/science/article/pii/S0029655424001350"" target=""_blank"" style=""color: #FF5733;"">[GoogleScholar (2024-08-03)]</a></li></ul>",,2024-08-06
Machine Unlearning Doesn't Do What You Think,,"<ul><li><span style=""color: #FF5733;"">GoogleScholar</span></li></ul>",2024-08-03,"<ul><li><a href=""https://www.researchgate.net/profile/Katherine-Lee-54/publication/382794407_Extended_Abstract_Machine_Unlearning_Doesn't_Do_What_You_Think/links/66abf587299c327096a332f9/Extended-Abstract-Machine-Unlearning-Doesnt-Do-What-You-Think.pdf"" target=""_blank"" style=""color: #FF5733;"">[GoogleScholar (2024-08-03)]</a></li></ul>",,2024-08-06
